"Sign Up for Our Newsletter:","Sign Up to get Latest Updates"
"Welcome, %1!", "Hi, %1!"
"Add to Compare","Compare with similar products"
"Summary", "Order Summary"
"Apply Discount", "Apply"
"Review & Payments","Billing"
