"Use text ‘AmastyHidePricePopup’ for opening Ajax Popup with a ‘Get a Quote’ form
                        Insert the page URL to redirect customers to any page you need","Use text ‘AmastyHidePricePopup’ for opening Ajax Popup with a ‘Get a Quote’ form
                        Insert the page URL to redirect customers to any page you need"
"Admin 'Get a Quote' Email Notifications","Admin 'Get a Quote' Email Notifications"
"Send Email to","Send Email to"
"Leave Empty to Disable Notifications","Leave Empty to Disable Notifications"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Auto Reply 'Get a Quote' Email Options","Auto Reply 'Get a Quote' Email Options"
Enable,Enable
"Developer Options","Developer Options"
"Category Item Selector","Category Item Selector"
"GDPR Consent","GDPR Consent"
Enabled,Enabled
"Сonsent Text","Сonsent Text"
"Amasty Customer Group Catalog Rule","Amasty Customer Group Catalog Rule"
"Indexed rule/product rule/customer associations","Indexed rule/product rule/customer associations"
"Indexed product/rule association","Indexed product/rule association"
"Indexed customer/rule association","Indexed customer/rule association"
"Are you sure?","Are you sure?"
"Request ID","Request ID"
Name,Name
Email,Email
Phone,Phone
"Product Id","Product Id"
"Rule ID","Rule ID"
Stores,Stores
"Hide price","Hide price"
Show,Show
Hide,Hide
Replace,Replace
"Allow Direct Links","Allow Direct Links"
Deny,Deny
Allow,Allow
Priority,Priority
Active,Active
Inactive,Inactive
Action,Action
"Customer Group Catalog Rule","Customer Group Catalog Rule"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule Priority","Rule Priority"
"If the product matches several rules, the one with the higher priority will be applied","If the product matches several rules, the one with the higher priority will be applied"
"Date Range","Date Range"
"Use Date Range","Use Date Range"
From,From
To,To
"Customer Groups","Customer Groups"
"Use Customer Groups","Use Customer Groups"
"For Customer Groups","For Customer Groups"
"Customer Conditions (Please mind these conditions are applied only for logged in customers)","Customer Conditions (Please mind these conditions are applied only for logged in customers)"
Categories,Categories
"Category Access Restriction","Category Access Restriction"
"Additional filtering options","Additional filtering options"
"Stock Status","Stock Status"
"Price Range","Price Range"
"Use Price Range","Use Price Range"
"By Price","By Price"
"From Price","From Price"
"To Price","To Price"
Actions,Actions
"Display Options","Display Options"
"Hide Category","Hide Category"
"Hide Product","Hide Product"
"Hide Price","Hide Price"
"Replacement block for product page","Replacement block for product page"
"Replacement block for categories page","Replacement block for categories page"
"Hide ""Add to cart"" button","Hide ""Add to cart"" button"
"Hide ""Add to wishlist"" button","Hide ""Add to wishlist"" button"
"Hide ""Add to compare"" button","Hide ""Add to compare"" button"
"Restriction Action","Restriction Action"
"Action On Forbid","Action On Forbid"
"CMS page redirect to","CMS page redirect to"
