"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list."
"You can then add the products to your registry from your shopping cart or wish list page.","You can then add the products to your registry from your shopping cart or wish list page."
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart."
"Cart Price Rules","Cart Price Rules"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"In Cart","In Cart"
"We can\'t add the item to shopping cart.","We can\'t add the item to shopping cart."
"We can\'t add the following product(s) to shopping cart: %1.","We can\'t add the following product(s) to shopping cart: %1."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"You must select items to add to the cart.","You must select items to add to the cart."
"Back to Shopping Cart","Back to Shopping Cart"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Edit Shopping Cart","Edit Shopping Cart"
"Checkout Cart Page","Checkout Cart Page"
"Display on Shopping Cart","Display on Shopping Cart"
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Transfer Cart Line Items","Transfer Cart Line Items"
"Your shopping cart has been updated with new prices.","Your shopping cart has been updated with new prices."
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in."
"Check \'Remember Me\' to access your shopping cart on this computer even if you are not signed in.","Check \'Remember Me\' to access your shopping cart on this computer even if you are not signed in."
"Persistent Shopping Cart","Persistent Shopping Cart"
"Persist Shopping Cart","Persist Shopping Cart"
"Edit Cart Price Rules","Edit Cart Price Rules"
"Cart %1 doesn\'t contain products","Cart %1 doesn\'t contain products"
"Cart %1 doesn\'t contain item  %2","Cart %1 doesn\'t contain item  %2"
"Cannot assign customer to the given cart. The cart belongs to different store.","Cannot assign customer to the given cart. The cart belongs to different store."
"Cannot assign customer to the given cart. The cart is not anonymous.","Cannot assign customer to the given cart. The cart is not anonymous."
"Cannot assign customer to the given cart. Customer already has active cart.","Cannot assign customer to the given cart. Customer already has active cart."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
"Cart contains virtual product(s) only. Shipping method is not applicable.","Cart contains virtual product(s) only. Shipping method is not applicable."
Carts,Carts
"Manage carts","Manage carts"
"Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a cart price rule with or without a coupon. If a cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root shopping cart condition should have a days value of 0 or greater.","The root shopping cart condition should have a days value of 0 or greater."
"Shopping cart %1 amount %2 %3:","Shopping cart %1 amount %2 %3:"
"Shopping cart %1 a coupon applied","Shopping cart %1 a coupon applied"
"Cart Line Items","Cart Line Items"
"Number of shopping cart line items %1 %2:","Number of shopping cart line items %1 %2:"
"The item was added to shopping cart %1, store view %2.","The item was added to shopping cart %1, store view %2."
"If an item is %1 in the shopping cart and %2 of these conditions match:","If an item is %1 in the shopping cart and %2 of these conditions match:"
"Total shopping cart items quantity %1 %2:","Total shopping cart items quantity %1 %2:"
"Shopping cart %1 only virtual items","Shopping cart %1 only virtual items"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping bag."
"Abandoned carts","Abandoned carts"
"Products in carts","Products in carts"
"Abandoned Carts","Abandoned Cart"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Products in Cart","Products in Cart"
"Abandoned Cart","Abandoned Cart"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Cart Price Rule","Cart Price Rule"
"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping cart right now."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"Move to Shopping Cart","Move to Shopping Cart"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items)."
"New Cart Price Rule","New Cart Price Rule"
"Cart Attribute","Cart Attribute"
"Quantity in cart","Quantity in cart"
"Price in cart","Price in cart"
"Row total in cart","Row total in cart"
"Cart Item Attribute","Cart Item Attribute"
"If an item is %1 in the cart with %2 of these conditions true:","If an item is %1 in the cart with %2 of these conditions true:"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Apply Discount","Add"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Cart Price Rules based on ""%2"" attribute have been disabled."
"Remove Cart Price Rule from Update","Remove Cart Price Rule from Update"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","The cart price rule will be removed from the update and all scheduled changes will be lost."
"sales_rule","Cart Price Rules"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"We can\'t add the item to the cart right now.","We can\'t add the item to the cart right now."
"The requested cart item doesn\'t exist.","The requested cart item doesn\'t exist."
"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping cart right now."
"We couldn\'t add the following product(s) to the shopping cart: %1.","We couldn\'t add the following product(s) to the shopping cart: %1."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Add All to Cart","Add All to Cart"
"Are you sure you would like to remove this item from the shopping cart?", "Are you sure you would like to remove this item from the shopping cart?"
